Gene,DINOv3,UNI,Winner,Delta
MALAT1,0.42594346,0.3973935,DINOv3,-0.0285
MGP,0.36657763,0.35418737,DINOv3,-0.0124
TFF3,0.32616198,0.3439799,UNI,0.0178
C3,0.34502125,0.31201592,DINOv3,-0.033
IGHG1,0.21666194,0.29177034,UNI,0.0751
IGHG4,0.23749496,0.28678817,UNI,0.0493
ADIRF,0.26730064,0.28207737,UNI,0.0148
IGLC2,0.21227945,0.27241352,UNI,0.0601
IGKC,0.21346563,0.2707728,UNI,0.0573
IGHG3,0.20737666,0.2695307,UNI,0.0622
TMSB10,0.25003132,0.2616805,UNI,0.0116
MT-ND1,0.20869376,0.24236201,UNI,0.0337
TIMP1,0.25322893,0.22531313,DINOv3,-0.0279
MT-ND4,0.20523198,0.22350128,UNI,0.0183
H2AFJ,0.20899467,0.22292675,UNI,0.0139
HLA-DRA,0.1761688,0.21586423,UNI,0.0397
HLA-B,0.18495081,0.20489158,UNI,0.0199
CSTA,0.17306915,0.20405588,UNI,0.031
MT-ND3,0.21377869,0.19989821,DINOv3,-0.0139
S100G,0.16736601,0.19939032,UNI,0.032
MT-CO2,0.13851404,0.19671388,UNI,0.0582
CD74,0.16231981,0.19321701,UNI,0.0309
HLA-A,0.16351283,0.18409899,UNI,0.0206
B2M,0.16916418,0.17639689,UNI,0.0072
MT-ND2,0.1437568,0.17557284,UNI,0.0318
S100A6,0.19746405,0.16845506,DINOv3,-0.029
IGLC1,0.1963107,0.16208017,DINOv3,-0.0342
CPB1,0.13319242,0.15677056,UNI,0.0236
FTL,0.15709433,0.14781614,DINOv3,-0.0093
ALB,0.15989763,0.147722,DINOv3,-0.0122
MT-CO3,0.120408565,0.13972762,UNI,0.0193
APOE,0.08830591,0.13927273,UNI,0.051
MT-ATP6,0.11974873,0.116225205,DINOv3,-0.0035
COX6C,0.106156476,0.115821645,UNI,0.0097
MT-CO1,0.0054656765,0.06593883,UNI,0.0605
LINC00645,0.028170876,0.026133548,DINOv3,-0.002
CALML5,-0.04490902,-0.018006368,UNI,0.0269
KRT19,-0.043790657,-0.023724936,UNI,0.0201
IFI27,-0.036439113,-0.04912746,DINOv3,-0.0127
SLITRK6,-0.08049081,-0.062984064,UNI,0.0175
CRISP3,-0.088691354,-0.0773316,UNI,0.0114
IGFBP5,-0.081910625,-0.10403731,DINOv3,-0.0221
RPLP1,-0.31486621,-0.25759175,UNI,0.0573
MUC1,-0.25753647,-0.2798627,DINOv3,-0.0223
KRT18,-0.32806653,-0.3371963,DINOv3,-0.0091
S100A11,-0.31884515,-0.34875873,DINOv3,-0.0299
KRT8,-0.37268573,-0.3597028,UNI,0.013
CXCL14,-0.33539847,-0.3624971,DINOv3,-0.0271
RPL41,-0.3826775,-0.37079713,UNI,0.0119
CCND1,-0.41251773,-0.39480025,UNI,0.0177
